City,Location,URL
Bethesda, Montgomery Mall,/retail/montgomerymall/
Columbia, Columbia,/retail/columbia/
Towson, Towson Town Center,/retail/towsontowncenter/
Boston, Boylston Street,/retail/boylstonstreet/
Braintree, South Shore,/retail/southshore/
Burlington, Burlington,/retail/burlington/
Cambridge, CambridgeSide,/retail/cambridgeside/
Chestnut Hill, Chestnut Hill,/retail/chestnuthill/
Dedham, Legacy Place,/retail/legacyplace/
Hingham, Derby Street,/retail/derbystreet/
Holyoke, Holyoke,/retail/holyoke/
Lynnfield, MarketStreet,/retail/marketstreet/
Marlborough, Solomon Pond Mall,/retail/solomonpondmall/
Natick, Natick Collection,/retail/natickcollection/
Ann Arbor, Briarwood,/retail/briarwood/
Clinton Township, Partridge Creek,/retail/partridgecreek/
Grand Rapids, Woodland,/retail/woodland/
Lansing, Eastwood Towne Center,/retail/eastwoodtownecenter/
Novi, Twelve Oaks,/retail/twelveoaks/
Troy, Somerset,/retail/somerset/
Bloomington, Mall of America,/retail/mallofamerica/
Edina, Southdale,/retail/southdale/
Minneapolis, Uptown,/retail/uptown/
Minnetonka, Ridgedale,/retail/ridgedale/
Roseville, Rosedale Center,/retail/rosedalecenter/
Ridgeland, Renaissance at Colony Park,/retail/renaissanceatcolonypark/
Kansas City, Country Club Plaza,/retail/countryclubplaza/
St. Louis, Saint Louis Galleria,/retail/saintlouisgalleria/
St. Louis, West County,/retail/westcounty/
Omaha, Village Pointe,/retail/villagepointe/
Las Vegas, Fashion Show,/retail/fashionshow/
Las Vegas, Summerlin,/retail/summerlin/
Las Vegas, The Forum Shops,/retail/theforumshops/
Las Vegas, Town Square,/retail/townsquare/
Reno, Summit Sierra,/retail/summitsierra/
Manchester, The Mall of New Hampshire,/retail/themallofnewhampshire/
Nashua, Pheasant Lane,/retail/pheasantlane/
Salem, Rockingham Park,/retail/rockinghampark/
Atlantic City, The Pier,/retail/thepier/
Bridgewater, Bridgewater,/retail/bridgewater/
Cherry Hill, Cherry Hill,/retail/cherryhill/
Edison, Menlo Park,/retail/menlopark/
Freehold, Freehold Raceway Mall,/retail/freeholdracewaymall/
Lawrence Township, Quaker Bridge,/retail/quakerbridge/
Marlton, Sagemore,/retail/sagemore/
Paramus, Garden State Plaza,/retail/gardenstateplaza/
Rockaway, Rockaway,/retail/rockaway/
Short Hills, Short Hills,/retail/shorthills/
Wayne, Willowbrook,/retail/willowbrook/
Woodcliff Lake, Tice's Corner,/retail/ticescorner/
Albuquerque, ABQ Uptown,/retail/abquptown/
Albany, Crossgates,/retail/crossgates/
Brooklyn, Downtown Brooklyn,/retail/downtownbrooklyn/
Brooklyn, Williamsburg,/retail/williamsburg/
Buffalo, Walden Galleria,/retail/waldengalleria/
Elmhurst, Queens Center,/retail/queenscenter/
Garden City, Roosevelt Field,/retail/rooseveltfield/
Huntington Station, Walt Whitman,/retail/waltwhitman/
Lake Grove, Smith Haven,/retail/smithhaven/
Manhasset, Manhasset,/retail/manhasset/
Nanuet, Nanuet,/retail/nanuet/
New York, Fifth Avenue,/retail/fifthavenue/
New York, Grand Central,/retail/grandcentral/
New York, SoHo,/retail/soho/
New York, Upper East Side,/retail/uppereastside/
New York, Upper West Side,/retail/upperwestside/
New York, West 14th Street,/retail/west14thstreet/
New York, World Trade Center,/retail/worldtradecenter/
Staten Island, Staten Island,/retail/statenisland/
Syracuse, Syracuse,/retail/syracuse/
Victor, Eastview,/retail/eastview/
White Plains, The Westchester,/retail/thewestchester/
Yonkers, Ridge Hill,/retail/ridgehill/
Charlotte, Northlake Mall,/retail/northlakemall/
Charlotte, SouthPark,/retail/southpark/
Durham, Southpoint,/retail/southpoint/
Greensboro, Friendly Center,/retail/friendlycenter/
Raleigh, Crabtree Valley Mall,/retail/crabtreevalleymall/
Akron, Summit Mall,/retail/summitmall/
Beavercreek, The Greene,/retail/thegreene/
Cincinnati, Kenwood Towne Centre,/retail/kenwoodtownecentre/
Columbus, Easton Town Center,/retail/eastontowncenter/
Columbus, Polaris Fashion Place,/retail/polarisfashionplace/
Toledo, Franklin Park Mall,/retail/franklinparkmall/
Westlake, Crocker Park,/retail/crockerpark/
Woodmere, Eton,/retail/eton/
Oklahoma City, Penn Square,/retail/pennsquare/
Tulsa, Woodland Hills,/retail/woodlandhills/
Portland, Pioneer Place,/retail/pioneerplace/
